"_id","concatString"
"5c5239f98b7ced712903939e","AcuraCL2003"
"5c5239f98b7ced71290393a1","AcuraTL2002"
"5c5239f98b7ced71290393a2","AcuraTL2003"
"5c5239f98b7ced71290393a6","AcuraILX2013"
"5c5239f98b7ced71290393a8","AcuraILX2014"
"5c5239f98b7ced71290393a9","AcuraILX2015"
"5c5239f98b7ced71290393aa","AcuraILX2016"
"5c5239f98b7ced71290393ac","AcuraILX Hybrid2013"
"5c5239fa8b7ced71290393ad","AcuraILX Hybrid2014"
"5c5239fa8b7ced71290393b4","AcuraMDX2003"
"5c5239fa8b7ced71290393b7","AcuraMDX2004"
"5c5239fa8b7ced71290393bb","AcuraMDX2005"
"5c5239fa8b7ced71290393bc","AcuraMDX2006"
"5c5239fa8b7ced71290393bf","AcuraRDX2007"
"5c5239fa8b7ced71290393c1","AcuraRDX2008"
"5c5239fa8b7ced71290393c3","AcuraRDX2009"
"5c5239fa8b7ced71290393c8","AcuraRDX2010"
"5c5239fa8b7ced71290393c9","AcuraRDX2011"
"5c5239fa8b7ced71290393ca","AcuraRDX2012"
"5c5239fa8b7ced71290393cb","AcuraRDX2013"
"5c5239fb8b7ced71290393cd","AcuraRDX2014"
"5c5239fb8b7ced71290393cf","AcuraRDX2015"
"5c5239fb8b7ced71290393d2","AcuraRDX2016"
"5c5239fb8b7ced71290393d3","AcuraRL2005"
"5c5239fb8b7ced71290393d6","AcuraRL2006"
"5c5239fb8b7ced71290393da","AcuraRL2007"
"5c5239fb8b7ced71290393e1","AcuraRL2008"
"5c5239fb8b7ced71290393e2","AcuraRL2009"
"5c5239fb8b7ced71290393e5","AcuraRL2010"
"5c5239fb8b7ced71290393e6","AcuraRL2011"
"5c5239fb8b7ced71290393e7","AcuraRL2012"
"5c5239fb8b7ced71290393ea","AcuraTL2009"
"5c5239fc8b7ced71290393eb","AcuraTL2010"
"5c5239fc8b7ced71290393ee","AcuraTL2011"
"5c5239fc8b7ced71290393f1","AcuraTL2012"
"5c5239fc8b7ced71290393f5","AcuraTL2013"
"5c5239fc8b7ced71290393fb","AcuraTL2014"
"5c5239fc8b7ced7129039402","AcuraTSX2009"
"5c5239fc8b7ced7129039408","AcuraTSX2010"
"5c5239fc8b7ced7129039409","AcuraTSX2011"
"5c5239fc8b7ced712903940a","AcuraTSX2012"
"5c5239fc8b7ced712903940b","AcuraTSX2013"
"5c5239fc8b7ced712903940c","AcuraTSX2014"
"5c5239fc8b7ced712903940d","AcuraZDX2010"
"5c5239fd8b7ced7129039414","AcuraZDX2011"
"5c5239fd8b7ced7129039416","AcuraZDX2012"
"5c5239fd8b7ced7129039417","AcuraZDX2013"
"5c5239fd8b7ced712903941b","AudiA32006"
"5c5239fd8b7ced712903941c","AudiA32007"
"5c5239fd8b7ced7129039422","AudiA32008"
"5c5239fd8b7ced7129039423","AudiA32009"
"5c5239fd8b7ced7129039428","AudiA32010"
"5c5239fd8b7ced712903942b","AudiA32011"
"5c5239fd8b7ced712903942e","AudiA32012"
"5c5239fd8b7ced712903942f","AudiA32013"
"5c5239fd8b7ced7129039431","AudiA42005"
"5c5239fe8b7ced7129039432","AudiA42006"
"5c5239fe8b7ced7129039435","AudiA42007"
"5c5239fe8b7ced7129039438","AudiA42008"
"5c5239fe8b7ced712903943c","AudiA42009"
"5c5239fe8b7ced712903943d","AudiA52010"
"5c5239fe8b7ced712903943e","AudiA52011"
"5c5239fe8b7ced7129039441","AudiA52012"
"5c5239fe8b7ced7129039442","AudiA62003"
